site_id;nature;nom_prodcartofriches;site_id_ok;TEST
66092_1200;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;66092_1200;OK
65034_9152;MTE;Friche étude Ademe 2021;65034_9152;OK
25003_18824;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;25003_18824;OK
59183_20177;fond friche;Appel à projet Fonds Friches;59183_20177;OK
65192_1525;MTE;Friche étude Ademe 2021;65192_1525;OK
68298_8863;MTE;Friche étude Ademe 2021;68298_8863;OK
08302_399;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;08302_399;OK
97120_6364;fond friche;Appel à projet Fonds Friches;97120_6364;OK
2B088_1783;MTE;Friche étude Ademe 2021;2B088_1783;OK
62491_5486;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;62491_5486;OK
66160_14100;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;66160_14100;OK
67423_12188;fond friche;Appel à projet Fonds Friches;67423_12188;OK
11245_1270;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;11245_1270;OK
55181_7490;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;55181_7490;OK
01453_17772;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;01453_17772;OK
66058_12630;fond friche;Appel à projet Fonds Friches;66058_12630;OK
34229_6053;fond friche;Appel à projet Fonds Friches;34229_6053;OK
43157_20207;fond friche;Appel à projet Fonds Friches;43157_20207;OK
59037_15953;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59037_15953;OK
12118_1257;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;12118_1257;OK
65079_2219;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;65079_2219;OK
27045_12050;fond friche;Appel à projet Fonds Friches;27045_12050;OK
65103_16178;MTE;Friche étude Ademe 2021;65103_16178;OK
2A004_1423;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;2A004_1423;OK
60388_10024;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60388_10024;OK
66046_2760;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;66046_2760;OK
65040_13836;MTE;Friche étude Ademe 2021;65040_13836;OK
2B205_1231;fond friche;Appel à projet Fonds Friches;2B205_1231;OK
65239_14141;MTE;Friche étude Ademe 2021;65239_14141;OK
2B185_1517;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B185_1517;OK
66083_6632;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;66083_6632;OK
62108_10124;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;62108_10124;OK
66169_12132;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;66169_12132;OK
60506_10033;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60506_10033;OK
83001_9182;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;83001_9182;OK
64003_836;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;64003_836;OK
57226_23566;observatoire local;EPF Grand Est;57226_23566;OK
66098_14399;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;66098_14399;OK
68182_17112;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;68182_17112;OK
60315_7571;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60315_7571;OK
60383_8090;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60383_8090;OK
02095_15838;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;02095_15838;OK
02053_9581;MTE;Friche étude Ademe 2021;02053_9581;OK
02567_14732;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;02567_14732;OK
02145_15013;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;02145_15013;OK
41074_12025;fond friche;Appel à projet Fonds Friches;41074_12025;OK
02408_21141;fond friche;Appel à projet Fonds Friches;02408_21141;OK
30142_16587;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;30142_16587;OK
74197_6666;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;74197_6666;OK
01304_23213;observatoire local;DDT de l'Ain;01304_23213;OK
35297_19609;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;35297_19609;OK
03215_18004;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03215_18004;OK
59183_4922;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59183_4922;OK
61098_8744;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;61098_8744;OK
44113_20240;fond friche;Appel à projet Fonds Friches;44113_20240;OK
44113_6839;fond friche;Appel à projet Fonds Friches;44113_6839;OK
22223_5779;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;22223_5779;OK
17110_13568;MTE;Friche étude Ademe 2021;17110_13568;OK
63314_17380;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;63314_17380;OK
33356_16929;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;33356_16929;OK
68141_7272;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;68141_7272;OK
48056_9003;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;48056_9003;OK
68196_18926;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;68196_18926;OK
2B096_8813;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B096_8813;OK
59122_15935;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59122_15935;OK
57346_7466;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;57346_7466;OK
62756_9265;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;62756_9265;OK
60064_10017;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60064_10017;OK
43159_17013;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;43159_17013;OK
13103_6796;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;13103_6796;OK
54518_23373;observatoire local;EPF Grand Est;54518_23373;OK
43157_20779;fond friche;Appel à projet Fonds Friches;43157_20779;OK
56131_21939;fond friche;Appel à projet Fonds Friches;56131_21939;OK
70104_6362;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;70104_6362;OK
16168_154;observatoire local;Grand Angoulême;16168_154;OK
70271_5695;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;70271_5695;OK
16121_3376;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;16121_3376;OK
31232_21790;fond friche;Appel à projet Fonds Friches;31232_21790;OK
28134_9218;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;28134_9218;OK
19033_8770;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;19033_8770;OK
77152_1051;fond friche;Appel à projet Fonds Friches;77152_1051;OK
62463_5454;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;62463_5454;OK
89387_21340;fond friche;Appel à projet Fonds Friches;89387_21340;OK
11228_8893;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;11228_8893;OK
68248_21825;fond friche;Appel à projet Fonds Friches;68248_21825;OK
30042_6352;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;30042_6352;OK
35360_3793;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;35360_3793;OK
35299_4120;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;35299_4120;OK
59122_20721;fond friche;Appel à projet Fonds Friches;59122_20721;OK
59335_4321;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59335_4321;OK
68123_19356;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;68123_19356;OK
65259_10727;MTE;Friche étude Ademe 2021;65259_10727;OK
18087_10949;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;18087_10949;OK
11086_2420;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;11086_2420;OK
91377_20184;fond friche;Appel à projet Fonds Friches;91377_20184;OK
02500_1052;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;02500_1052;OK
11390_2191;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;11390_2191;OK
35220_3751;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;35220_3751;OK
64504_9181;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;64504_9181;OK
43112_16984;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;43112_16984;OK
22216_19492;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;22216_19492;OK
22368_19887;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;22368_19887;OK
32190_8017;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;32190_8017;OK
34089_15521;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;34089_15521;OK
08139_8133;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;08139_8133;OK
81100_2532;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81100_2532;OK
59449_5413;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59449_5413;OK
59094_8663;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59094_8663;OK
39286_1302;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;39286_1302;OK
09218_14371;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;09218_14371;OK
34284_1247;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;34284_1247;OK
31367_14154;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;31367_14154;OK
01185_23244;observatoire local;DDT de l'Ain;01185_23244;OK
35179_16508;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;35179_16508;OK
02064_1824;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;02064_1824;OK
87047_1048;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;87047_1048;OK
54083_2608;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;54083_2608;OK
16168_1477;observatoire local;Grand Angoulême;16168_1477;OK
01330_3094;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;01330_3094;OK
27440_21708;fond friche;Appel à projet Fonds Friches;27440_21708;OK
08368_2044;observatoire local;DDT des Ardennes;08368_2044;OK
08302_10421;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;08302_10421;OK
19044_16884;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;19044_16884;OK
57179_23628;observatoire local;EPF Grand Est;57179_23628;OK
70525_18950;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;70525_18950;OK
78361_12070;fond friche;Appel à projet Fonds Friches;78361_12070;OK
42215_21123;fond friche;Appel à projet Fonds Friches;42215_21123;OK
68182_1972;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;68182_1972;OK
70155_13741;MTE;Friche étude Ademe 2021;70155_13741;OK
51621_23047;observatoire local;DDT de la Marne;51621_23047;OK
70245_8757;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;70245_8757;OK
70245_13022;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;70245_13022;OK
57330_1600;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;57330_1600;OK
02381_10791;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;02381_10791;OK
80071_20816;fond friche;Appel à projet Fonds Friches;80071_20816;OK
48116_6599;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;48116_6599;OK
28317_19997;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;28317_19997;OK
18229_12037;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;18229_12037;OK
22134_1791;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;22134_1791;OK
30184_5760;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;30184_5760;OK
57672_21039;fond friche;Appel à projet Fonds Friches;57672_21039;OK
43153_17127;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;43153_17127;OK
03092_13500;MTE;Friche étude Ademe 2021;03092_13500;OK
03128_13971;MTE;Friche étude Ademe 2021;03128_13971;OK
03159_9541;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03159_9541;OK
28259_7846;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;28259_7846;OK
03038_9843;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03038_9843;OK
16323_3369;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;16323_3369;OK
28332_2940;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;28332_2940;OK
28359_12065;fond friche;Appel à projet Fonds Friches;28359_12065;OK
28134_4163;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;28134_4163;OK
22225_19886;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;22225_19886;OK
35176_8236;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;35176_8236;OK
28134_2986;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;28134_2986;OK
28056_4152;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;28056_4152;OK
68268_20815;fond friche;Appel à projet Fonds Friches;68268_20815;OK
28164_5547;fond friche;Appel à projet Fonds Friches;28164_5547;OK
30259_3140;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;30259_3140;OK
35224_16037;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;35224_16037;OK
08435_7539;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;08435_7539;OK
58055_3484;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;58055_3484;OK
42023_7016;fond friche;Appel à projet Fonds Friches;42023_7016;OK
76067_2347;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;76067_2347;OK
07292_8400;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;07292_8400;OK
65009_22088;fond friche;Appel à projet Fonds Friches;65009_22088;OK
16168_1527;observatoire local;Grand Angoulême;16168_1527;OK
03266_17967;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03266_17967;OK
2B121_10054;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2B121_10054;OK
03187_17970;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03187_17970;OK
03027_18019;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03027_18019;OK
08198_69;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;08198_69;OK
04210_20288;fond friche;Appel à projet Fonds Friches;04210_20288;OK
03300_18085;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03300_18085;OK
11022_15386;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;11022_15386;OK
04166_1631;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;04166_1631;OK
02029_15780;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;02029_15780;OK
02243_9175;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;02243_9175;OK
09282_15674;observatoire local;Région Occitanie;09282_15674;OK
04070_16469;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;04070_16469;OK
04018_20921;fond friche;Appel à projet Fonds Friches;04018_20921;OK
01331_23166;observatoire local;DDT de l'Ain;01331_23166;OK
24016_3356;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;24016_3356;OK
2B185_1532;MTE;Friche étude Ademe 2021;2B185_1532;OK
03237_3441;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03237_3441;OK
33199_10686;MTE;Friche étude Ademe 2021;33199_10686;OK
04070_21305;fond friche;Appel à projet Fonds Friches;04070_21305;OK
24214_3352;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;24214_3352;OK
91135_4072;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;91135_4072;OK
03072_5117;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03072_5117;OK
11191_8546;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;11191_8546;OK
24424_7990;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;24424_7990;OK
27388_22169;observatoire local;EPF Normandie;27388_22169;OK
07224_10520;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;07224_10520;OK
2A108_1080;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;2A108_1080;OK
54028_23958;observatoire local;EPF Grand Est;54028_23958;OK
08081_2009;observatoire local;DDT des Ardennes;08081_2009;OK
12209_16787;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;12209_16787;OK
09034_6107;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;09034_6107;OK
07337_8033;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;07337_8033;OK
16263_289;observatoire local;Grand Angoulême;16263_289;OK
06158_9882;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;06158_9882;OK
97602_22159;fond friche;Appel à projet Fonds Friches;97602_22159;OK
03160_1809;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;03160_1809;OK
29097_1828;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;29097_1828;OK
08022_21443;observatoire local;DDT des Ardennes;08022_21443;OK
09160_20575;observatoire local;Région Occitanie;09160_20575;OK
54096_9007;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;54096_9007;OK
34129_20477;fond friche;Appel à projet Fonds Friches;34129_20477;OK
12094_1032;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;12094_1032;OK
08262_14203;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;08262_14203;OK
11106_6422;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;11106_6422;OK
16168_410;observatoire local;Grand Angoulême;16168_410;OK
12209_16788;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;12209_16788;OK
01185_23201;observatoire local;DDT de l'Ain;01185_23201;OK
03206_13681;MTE;Friche étude Ademe 2021;03206_13681;OK
03013_21280;fond friche;Appel à projet Fonds Friches;03013_21280;OK
11296_1782;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;11296_1782;OK
08190_2916;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;08190_2916;OK
30216_7780;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;30216_7780;OK
03155_14242;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03155_14242;OK
04188_11499;fond friche;Appel à projet Fonds Friches;04188_11499;OK
74042_21563;fond friche;Appel à projet Fonds Friches;74042_21563;OK
23016_6862;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;23016_6862;OK
23101_6880;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;23101_6880;OK
04022_10481;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;04022_10481;OK
16263_1841;observatoire local;Grand Angoulême;16263_1841;OK
02095_15835;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;02095_15835;OK
10323_4074;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;10323_4074;OK
16423_6819;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;16423_6819;OK
27516_2114;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;27516_2114;OK
86005_12757;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;86005_12757;OK
08381_2064;observatoire local;DDT des Ardennes;08381_2064;OK
21655_1324;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;21655_1324;OK
07224_15767;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;07224_15767;OK
01330_3425;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;01330_3425;OK
16105_7805;fond friche;Appel à projet Fonds Friches;16105_7805;OK
07224_1902;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;07224_1902;OK
21305_8551;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;21305_8551;OK
89387_3810;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;89387_3810;OK
89074_4996;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;89074_4996;OK
59067_9633;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59067_9633;OK
04070_8211;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;04070_8211;OK
19028_3314;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;19028_3314;OK
34198_3042;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;34198_3042;OK
03282_18168;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03282_18168;OK
88011_12306;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;88011_12306;OK
09282_20708;observatoire local;Région Occitanie;09282_20708;OK
59486_15312;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59486_15312;OK
59377_15912;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59377_15912;OK
59122_15940;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59122_15940;OK
57638_7714;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;57638_7714;OK
88196_19441;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;88196_19441;OK
59486_8328;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59486_8328;OK
79257_5474;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;79257_5474;OK
48139_16824;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;48139_16824;OK
89387_888;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;89387_888;OK
89284_20623;fond friche;Appel à projet Fonds Friches;89284_20623;OK
38396_3246;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;38396_3246;OK
89338_3818;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;89338_3818;OK
60562_10475;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60562_10475;OK
89197_4331;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;89197_4331;OK
89419_4352;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;89419_4352;OK
51567_13100;observatoire local;DDT de la Marne;51567_13100;OK
37064_18298;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;37064_18298;OK
70102_18646;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;70102_18646;OK
59183_20726;fond friche;Appel à projet Fonds Friches;59183_20726;OK
41297_9520;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;41297_9520;OK
64092_12515;fond friche;Appel à projet Fonds Friches;64092_12515;OK
50237_3785;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;50237_3785;OK
25634_11291;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;25634_11291;OK
59074_9420;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59074_9420;OK
79047_5124;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;79047_5124;OK
41173_1082;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;41173_1082;OK
48028_6600;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;48028_6600;OK
83068_7565;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;83068_7565;OK
67462_19647;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;67462_19647;OK
60164_14776;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60164_14776;OK
02574_14066;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;02574_14066;OK
81224_1250;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81224_1250;OK
66175_12631;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;66175_12631;OK
85058_1669;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;85058_1669;OK
41031_7028;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;41031_7028;OK
19049_1912;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;19049_1912;OK
35345_19798;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;35345_19798;OK
45268_8002;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;45268_8002;OK
70498_19101;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;70498_19101;OK
70188_18977;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;70188_18977;OK
09332_8032;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;09332_8032;OK
79111_7918;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;79111_7918;OK
89227_7633;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;89227_7633;OK
63225_21095;fond friche;Appel à projet Fonds Friches;63225_21095;OK
89474_7650;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;89474_7650;OK
79111_5972;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;79111_5972;OK
79111_3187;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;79111_3187;OK
03229_9551;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;03229_9551;OK
65009_15469;MTE;Friche étude Ademe 2021;65009_15469;OK
30209_6027;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;30209_6027;OK
22211_4126;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;22211_4126;OK
76476_13578;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;76476_13578;OK
01179_23094;observatoire local;DDT de l'Ain;01179_23094;OK
28134_20981;fond friche;Appel à projet Fonds Friches;28134_20981;OK
31451_7308;fond friche;Appel à projet Fonds Friches;31451_7308;OK
60088_6832;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;60088_6832;OK
09130_15135;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;09130_15135;OK
66121_21260;fond friche;Appel à projet Fonds Friches;66121_21260;OK
03229_13829;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;03229_13829;OK
68298_8559;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;68298_8559;OK
80143_14973;observatoire local;ADUGA (Grand Amiénois);80143_14973;OK
68287_3740;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;68287_3740;OK
16420_1802;observatoire local;Grand Angoulême;16420_1802;OK
42201_17133;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;42201_17133;OK
56172_19168;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;56172_19168;OK
01305_23192;observatoire local;DDT de l'Ain;01305_23192;OK
73226_21118;fond friche;Appel à projet Fonds Friches;73226_21118;OK
68182_3630;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;68182_3630;OK
03169_7557;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;03169_7557;OK
62108_8333;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;62108_8333;OK
11008_15153;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;11008_15153;OK
41077_8229;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;41077_8229;OK
92036_4227;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;92036_4227;OK
07291_3164;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;07291_3164;OK
28134_809;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;28134_809;OK
08001_2369;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;08001_2369;OK
27543_3278;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;27543_3278;OK
41232_6345;MTE;Friche étude Ademe 2021;41232_6345;OK
21201_8080;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;21201_8080;OK
03011_13878;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;03011_13878;OK
03027_13912;MTE;Friche étude Ademe 2021;03027_13912;OK
22214_2811;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;22214_2811;OK
19140_16983;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;19140_16983;OK
16168_498;observatoire local;Grand Angoulême;16168_498;OK
65069_14261;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;65069_14261;OK
